probability,width,time,succeeded
0.10,2,411,false
0.10,2,101,false
0.10,2,1,false
0.10,2,21,false
0.10,2,131,false
0.10,2,71,false
0.10,2,121,false
0.10,2,241,false
0.10,2,151,false
0.10,2,11,false
0.10,4,181,false
0.10,4,71,false
0.10,4,111,false
0.10,4,131,false
0.10,4,91,false
0.10,4,151,false
0.10,4,21,false
0.10,4,301,false
0.10,4,151,false
0.10,4,51,false
0.10,6,281,false
0.10,6,121,false
0.10,6,241,false
0.10,6,151,false
0.10,6,41,false
0.10,6,371,false
0.10,6,1,false
0.10,6,41,false
0.10,6,31,false
0.10,6,41,false
0.10,8,241,false
0.10,8,171,false
0.10,8,111,false
0.10,8,11,false
0.10,8,101,false
0.10,8,391,false
0.10,8,31,false
0.10,8,51,false
0.10,8,51,false
0.10,8,1,false
0.10,10,11,false
0.10,10,31,false
0.10,10,1,false
0.10,10,41,false
0.10,10,81,false
0.10,10,61,false
0.10,10,61,false
0.10,10,211,false
0.10,10,51,false
0.10,10,31,false
0.10,12,111,false
0.10,12,411,false
0.10,12,251,false
0.10,12,81,false
0.10,12,21,false
0.10,12,121,false
0.10,12,121,false
0.10,12,311,false
0.10,12,181,false
0.10,12,341,false
0.10,14,41,false
0.10,14,101,false
0.10,14,61,false
0.10,14,171,false
0.10,14,61,false
0.10,14,91,false
0.10,14,31,false
0.10,14,131,false
0.10,14,51,false
0.10,14,261,false
0.10,16,21,false
0.10,16,21,false
0.10,16,41,false
0.10,16,41,false
0.10,16,31,false
0.10,16,111,false
0.10,16,141,false
0.10,16,81,false
0.10,16,791,false
0.10,16,71,false
0.20,2,161,false
0.20,2,21,false
0.20,2,11,false
0.20,2,91,false
0.20,2,171,false
0.20,2,101,false
0.20,2,101,false
0.20,2,91,false
0.20,2,31,false
0.20,2,81,false
0.20,4,181,false
0.20,4,181,false
0.20,4,11,false
0.20,4,71,false
0.20,4,51,false
0.20,4,11,false
0.20,4,41,false
0.20,4,71,false
0.20,4,41,false
0.20,4,51,false
0.20,6,131,false
0.20,6,91,false
0.20,6,11,false
0.20,6,41,false
0.20,6,101,false
0.20,6,11,false
0.20,6,51,false
0.20,6,11,false
0.20,6,1,false
0.20,6,61,false
0.20,8,31,false
0.20,8,91,false
0.20,8,31,false
0.20,8,21,false
0.20,8,91,false
0.20,8,31,false
0.20,8,71,false
0.20,8,11,false
0.20,8,11,false
0.20,8,341,false
0.20,10,201,false
0.20,10,51,false
0.20,10,21,false
0.20,10,21,false
0.20,10,71,false
0.20,10,1,false
0.20,10,11,false
0.20,10,71,false
0.20,10,31,false
0.20,10,141,false
0.20,12,1,false
0.20,12,221,false
0.20,12,41,false
0.20,12,71,false
0.20,12,111,false
0.20,12,41,false
0.20,12,51,false
0.20,12,31,false
0.20,12,51,false
0.20,12,141,false
0.20,14,21,false
0.20,14,21,false
0.20,14,1,false
0.20,14,151,false
0.20,14,41,false
0.20,14,61,false
0.20,14,11,false
0.20,14,61,false
0.20,14,1,false
0.20,14,1,false
0.20,16,1,false
0.20,16,21,false
0.20,16,41,false
0.20,16,111,false
0.20,16,61,false
0.20,16,11,false
0.20,16,131,false
0.20,16,71,false
0.20,16,11,false
0.20,16,161,false
0.30,2,71,false
0.30,2,31,false
0.30,2,161,false
0.30,2,91,false
0.30,2,1,false
0.30,2,1,false
0.30,2,51,false
0.30,2,61,false
0.30,2,101,false
0.30,2,1,false
0.30,4,11,false
0.30,4,11,false
0.30,4,41,false
0.30,4,11,false
0.30,4,41,false
0.30,4,31,false
0.30,4,21,false
0.30,4,31,false
0.30,4,11,false
0.30,4,191,false
0.30,6,1,false
0.30,6,121,false
0.30,6,11,false
0.30,6,1,false
0.30,6,91,false
0.30,6,211,false
0.30,6,51,false
0.30,6,11,false
0.30,6,1,false
0.30,6,1,false
0.30,8,141,false
0.30,8,151,false
0.30,8,71,false
0.30,8,71,false
0.30,8,61,false
0.30,8,21,false
0.30,8,1,false
0.30,8,111,false
0.30,8,141,false
0.30,8,51,false
0.30,10,111,false
0.30,10,131,false
0.30,10,1,false
0.30,10,1,false
0.30,10,51,false
0.30,10,41,false
0.30,10,1,false
0.30,10,21,false
0.30,10,11,false
0.30,10,1,false
0.30,12,51,false
0.30,12,1,false
0.30,12,51,false
0.30,12,1,false
0.30,12,51,false
0.30,12,11,false
0.30,12,41,false
0.30,12,31,false
0.30,12,21,false
0.30,12,11,false
0.30,14,1,false
0.30,14,11,false
0.30,14,71,false
0.30,14,61,false
0.30,14,11,false
0.30,14,31,false
0.30,14,21,false
0.30,14,11,false
0.30,14,141,false
0.30,14,111,false
0.30,16,51,false
0.30,16,81,false
0.30,16,21,false
0.30,16,31,false
0.30,16,81,false
0.30,16,1,false
0.30,16,81,false
0.30,16,11,false
0.30,16,71,false
0.30,16,41,false
0.40,2,1,false
0.40,2,31,false
0.40,2,1,false
0.40,2,41,false
0.40,2,1,false
0.40,2,141,false
0.40,2,11,false
0.40,2,1,false
0.40,2,21,false
0.40,2,31,false
0.40,4,1,false
0.40,4,21,false
0.40,4,31,false
0.40,4,71,false
0.40,4,1,false
0.40,4,1,false
0.40,4,1,false
0.40,4,1,false
0.40,4,41,false
0.40,4,11,false
0.40,6,11,false
0.40,6,61,false
0.40,6,1,false
0.40,6,11,false
0.40,6,41,false
0.40,6,1,false
0.40,6,1,false
0.40,6,11,false
0.40,6,1,false
0.40,6,11,false
0.40,8,41,false
0.40,8,1,false
0.40,8,1,false
0.40,8,1,false
0.40,8,1,false
0.40,8,21,false
0.40,8,11,false
0.40,8,161,false
0.40,8,31,false
0.40,8,51,false
0.40,10,11,false
0.40,10,1,false
0.40,10,71,false
0.40,10,21,false
0.40,10,1,false
0.40,10,41,false
0.40,10,41,false
0.40,10,51,false
0.40,10,71,false
0.40,10,41,false
0.40,12,21,false
0.40,12,1,false
0.40,12,71,false
0.40,12,11,false
0.40,12,1,false
0.40,12,1,false
0.40,12,11,false
0.40,12,131,false
0.40,12,11,false
0.40,12,1,false
0.40,14,131,false
0.40,14,21,false
0.40,14,41,false
0.40,14,21,false
0.40,14,21,false
0.40,14,41,false
0.40,14,1,false
0.40,14,1,false
0.40,14,71,false
0.40,14,11,false
0.40,16,141,false
0.40,16,41,false
0.40,16,1,false
0.40,16,71,false
0.40,16,61,false
0.40,16,21,false
0.40,16,11,false
0.40,16,51,false
0.40,16,11,false
0.40,16,1,false
0.50,2,31,false
0.50,2,11,false
0.50,2,11,false
0.50,2,31,false
0.50,2,21,false
0.50,2,21,false
0.50,2,11,false
0.50,2,11,false
0.50,2,121,false
0.50,2,11,false
0.50,4,1,false
0.50,4,31,false
0.50,4,11,false
0.50,4,41,false
0.50,4,1,false
0.50,4,21,false
0.50,4,11,false
0.50,4,51,false
0.50,4,11,false
0.50,4,1,false
0.50,6,1,false
0.50,6,11,false
0.50,6,11,false
0.50,6,1,false
0.50,6,1,false
0.50,6,21,false
0.50,6,41,false
0.50,6,1,false
0.50,6,31,false
0.50,6,11,false
0.50,8,1,false
0.50,8,21,false
0.50,8,21,false
0.50,8,51,false
0.50,8,71,false
0.50,8,21,false
0.50,8,41,false
0.50,8,21,false
0.50,8,1,false
0.50,8,31,false
0.50,10,1,false
0.50,10,21,false
0.50,10,21,false
0.50,10,11,false
0.50,10,1,false
0.50,10,121,false
0.50,10,51,false
0.50,10,11,false
0.50,10,41,false
0.50,10,1,false
0.50,12,31,false
0.50,12,81,false
0.50,12,91,false
0.50,12,51,false
0.50,12,21,false
0.50,12,51,false
0.50,12,1,false
0.50,12,71,false
0.50,12,31,false
0.50,12,61,false
0.50,14,21,false
0.50,14,31,false
0.50,14,31,false
0.50,14,41,false
0.50,14,51,false
0.50,14,41,false
0.50,14,11,false
0.50,14,31,false
0.50,14,31,false
0.50,14,1,false
0.50,16,1,false
0.50,16,91,false
0.50,16,71,false
0.50,16,91,false
0.50,16,1,false
0.50,16,1,false
0.50,16,31,false
0.50,16,51,false
0.50,16,41,false
0.50,16,81,false
0.60,2,1,false
0.60,2,1,false
0.60,2,1,false
0.60,2,1,false
0.60,2,11,false
0.60,2,1,false
0.60,2,1,false
0.60,2,11,false
0.60,2,11,false
0.60,2,31,false
0.60,4,11,false
0.60,4,21,false
0.60,4,11,false
0.60,4,1,false
0.60,4,1,false
0.60,4,81,false
0.60,4,1,false
0.60,4,1,false
0.60,4,1,false
0.60,4,31,false
0.60,6,1,false
0.60,6,1,false
0.60,6,1,false
0.60,6,21,false
0.60,6,21,false
0.60,6,11,false
0.60,6,11,false
0.60,6,41,false
0.60,6,11,false
0.60,6,11,false
0.60,8,1,false
0.60,8,21,false
0.60,8,21,false
0.60,8,31,false
0.60,8,11,false
0.60,8,21,false
0.60,8,1,false
0.60,8,1,false
0.60,8,11,false
0.60,8,31,false
0.60,10,11,false
0.60,10,41,false
0.60,10,11,false
0.60,10,11,false
0.60,10,21,false
0.60,10,21,false
0.60,10,21,false
0.60,10,21,false
0.60,10,1,false
0.60,10,11,false
0.60,12,11,false
0.60,12,11,false
0.60,12,1,false
0.60,12,1,false
0.60,12,21,false
0.60,12,1,false
0.60,12,51,false
0.60,12,1,false
0.60,12,1,false
0.60,12,41,false
0.60,14,1,false
0.60,14,21,false
0.60,14,21,false
0.60,14,31,false
0.60,14,1,false
0.60,14,1,false
0.60,14,1,false
0.60,14,31,false
0.60,14,21,false
0.60,14,1,false
0.60,16,11,false
0.60,16,1,false
0.60,16,21,false
0.60,16,1,false
0.60,16,1,false
0.60,16,31,false
0.60,16,1,false
0.60,16,41,false
0.60,16,1,false
0.60,16,1,false
0.70,2,11,false
0.70,2,11,false
0.70,2,11,false
0.70,2,11,false
0.70,2,1,false
0.70,2,11,false
0.70,2,1,false
0.70,2,1,false
0.70,2,11,false
0.70,2,31,false
0.70,4,1,false
0.70,4,1,false
0.70,4,1,false
0.70,4,11,false
0.70,4,11,false
0.70,4,1,false
0.70,4,21,false
0.70,4,1,false
0.70,4,1,false
0.70,4,11,false
0.70,6,1,false
0.70,6,31,false
0.70,6,41,false
0.70,6,11,false
0.70,6,51,false
0.70,6,81,false
0.70,6,11,false
0.70,6,11,false
0.70,6,1,false
0.70,6,1,false
0.70,8,11,false
0.70,8,1,false
0.70,8,1,false
0.70,8,21,false
0.70,8,21,false
0.70,8,21,false
0.70,8,1,false
0.70,8,1,false
0.70,8,11,false
0.70,8,1,false
0.70,10,1,false
0.70,10,31,false
0.70,10,21,false
0.70,10,1,false
0.70,10,1,false
0.70,10,11,false
0.70,10,11,false
0.70,10,61,false
0.70,10,1,false
0.70,10,11,false
0.70,12,1,false
0.70,12,1,false
0.70,12,1,false
0.70,12,31,false
0.70,12,1,false
0.70,12,31,false
0.70,12,1,false
0.70,12,1,false
0.70,12,41,false
0.70,12,31,false
0.70,14,1,false
0.70,14,11,false
0.70,14,11,false
0.70,14,1,false
0.70,14,1,false
0.70,14,21,false
0.70,14,51,false
0.70,14,31,false
0.70,14,1,false
0.70,14,11,false
0.70,16,1,false
0.70,16,1,false
0.70,16,31,false
0.70,16,1,false
0.70,16,1,false
0.70,16,51,false
0.70,16,1,false
0.70,16,11,false
0.70,16,1,false
0.70,16,11,false
0.80,2,21,false
0.80,2,11,false
0.80,2,21,false
0.80,2,31,false
0.80,2,1,false
0.80,2,21,false
0.80,2,11,false
0.80,2,11,false
0.80,2,11,false
0.80,2,1,false
0.80,4,21,false
0.80,4,1,false
0.80,4,1,false
0.80,4,1,false
0.80,4,1,false
0.80,4,11,false
0.80,4,31,false
0.80,4,11,false
0.80,4,1,false
0.80,4,1,false
0.80,6,11,false
0.80,6,21,false
0.80,6,1,false
0.80,6,1,false
0.80,6,11,false
0.80,6,21,false
0.80,6,1,false
0.80,6,41,false
0.80,6,51,false
0.80,6,31,false
0.80,8,31,false
0.80,8,31,false
0.80,8,1,false
0.80,8,1,false
0.80,8,1,false
0.80,8,1,false
0.80,8,1,false
0.80,8,1,false
0.80,8,41,false
0.80,8,1,false
0.80,10,1,false
0.80,10,11,false
0.80,10,11,false
0.80,10,1,false
0.80,10,11,false
0.80,10,11,false
0.80,10,11,false
0.80,10,1,false
0.80,10,21,false
0.80,10,31,false
0.80,12,51,false
0.80,12,1,false
0.80,12,51,false
0.80,12,21,false
0.80,12,11,false
0.80,12,31,false
0.80,12,1,false
0.80,12,1,false
0.80,12,1,false
0.80,12,1,false
0.80,14,41,false
0.80,14,11,false
0.80,14,1,false
0.80,14,81,false
0.80,14,11,false
0.80,14,101,false
0.80,14,11,false
0.80,14,1,false
0.80,14,1,false
0.80,14,21,false
0.80,16,1,false
0.80,16,1,false
0.80,16,81,false
0.80,16,31,false
0.80,16,11,false
0.80,16,21,false
0.80,16,21,false
0.80,16,41,false
0.80,16,31,false
0.80,16,1,false
0.90,2,31,false
0.90,2,71,false
0.90,2,41,false
0.90,2,1,false
0.90,2,1,false
0.90,2,1,false
0.90,2,11,false
0.90,2,1,false
0.90,2,1,false
0.90,2,1,false
0.90,4,1,false
0.90,4,1,false
0.90,4,11,false
0.90,4,71,false
0.90,4,1,false
0.90,4,11,false
0.90,4,41,false
0.90,4,1,false
0.90,4,1,false
0.90,4,1,false
0.90,6,1,false
0.90,6,21,false
0.90,6,21,false
0.90,6,21,false
0.90,6,1,false
0.90,6,31,false
0.90,6,31,false
0.90,6,1,false
0.90,6,1,false
0.90,6,1,false
0.90,8,51,false
0.90,8,1,false
0.90,8,11,false
0.90,8,1,false
0.90,8,1,false
0.90,8,1,false
0.90,8,11,false
0.90,8,1,false
0.90,8,1,false
0.90,8,1,false
0.90,10,31,false
0.90,10,11,false
0.90,10,51,false
0.90,10,11,false
0.90,10,1,false
0.90,10,21,false
0.90,10,11,false
0.90,10,31,false
0.90,10,11,false
0.90,10,1,false
0.90,12,1,false
0.90,12,11,false
0.90,12,1,false
0.90,12,1,false
0.90,12,11,false
0.90,12,11,false
0.90,12,1,false
0.90,12,21,false
0.90,12,11,false
0.90,12,11,false
0.90,14,71,false
0.90,14,1,false
0.90,14,11,false
0.90,14,1,false
0.90,14,1,false
0.90,14,41,false
0.90,14,11,false
0.90,14,21,false
0.90,14,21,false
0.90,14,1,false
0.90,16,11,false
0.90,16,1,false
0.90,16,21,false
0.90,16,41,false
0.90,16,21,false
0.90,16,21,false
0.90,16,41,false
0.90,16,11,false
0.90,16,21,false
0.90,16,11,false
